2026-06-22 14:41:23,207 | INFO     | app.main:105 | geo-map-backend ready.
2026-06-22 14:41:25,152 | INFO     | app.main:51 | Starting geo-map-backend...
2026-06-22 14:41:25,153 | INFO     | app.main:56 | Rate limiter initialized
2026-06-22 14:41:25,158 | INFO     | app.core.redis:40 | Redis connection established at localhost:6379
2026-06-22 14:41:25,159 | INFO     | app.integrations.pinecone_client:41 | Initialising Pinecone client — index: geo-map-places
2026-06-22 14:41:27,392 | INFO     | app.integrations.pinecone_client:45 | Pinecone client ready — index: geo-map-places
2026-06-22 14:41:27,689 | INFO     | app.main:82 | OpenAI client initialised — model: text-embedding-3-small
2026-06-22 14:41:28,870 | INFO     | app.main:93 | Autocomplete httpx client initialised.
2026-06-22 14:41:29,161 | INFO     | app.main:96 | Place Photos httpx client initialised.
2026-06-22 14:41:29,464 | INFO     | app.main:100 | Routes API httpx client initialised.
2026-06-22 14:41:29,751 | INFO     | app.main:103 | Open-Meteo httpx client initialised.
2026-06-22 14:41:29,751 | INFO     | app.main:105 | geo-map-backend ready.
2026-06-22 14:59:41,794 | INFO     | app.main:109 | Shutting down geo-map-backend...
2026-06-22 14:59:41,796 | INFO     | app.main:119 | httpx clients closed.
2026-06-22 14:59:41,796 | INFO     | app.integrations.pinecone_client:25 | Shutting down Pinecone thread pool executor...
2026-06-22 14:59:41,796 | INFO     | app.integrations.pinecone_client:27 | Pinecone thread pool executor shut down.
2026-06-22 14:59:41,796 | INFO     | app.core.redis:65 | Redis connection closed.
2026-06-22 14:59:41,796 | INFO     | app.main:127 | geo-map-backend shutdown complete.
2026-06-22 14:59:43,882 | INFO     | app.main:51 | Starting geo-map-backend...
2026-06-22 14:59:43,882 | INFO     | app.main:56 | Rate limiter initialized
2026-06-22 14:59:43,903 | INFO     | app.core.redis:40 | Redis connection established at localhost:6379
2026-06-22 14:59:43,903 | INFO     | app.integrations.pinecone_client:41 | Initialising Pinecone client — index: geo-map-places
2026-06-22 14:59:46,610 | INFO     | app.integrations.pinecone_client:45 | Pinecone client ready — index: geo-map-places
2026-06-22 14:59:46,909 | INFO     | app.main:82 | OpenAI client initialised — model: text-embedding-3-small
2026-06-22 14:59:48,089 | INFO     | app.main:93 | Autocomplete httpx client initialised.
2026-06-22 14:59:48,398 | INFO     | app.main:96 | Place Photos httpx client initialised.
2026-06-22 14:59:48,706 | INFO     | app.main:100 | Routes API httpx client initialised.
2026-06-22 14:59:49,003 | INFO     | app.main:103 | Open-Meteo httpx client initialised.
2026-06-22 14:59:49,003 | INFO     | app.main:105 | geo-map-backend ready.
2026-06-22 15:04:42,274 | INFO     | app.main:109 | Shutting down geo-map-backend...
2026-06-22 15:04:42,274 | INFO     | app.main:119 | httpx clients closed.
2026-06-22 15:04:42,274 | INFO     | app.integrations.pinecone_client:25 | Shutting down Pinecone thread pool executor...
2026-06-22 15:04:42,274 | INFO     | app.integrations.pinecone_client:27 | Pinecone thread pool executor shut down.
2026-06-22 15:04:42,274 | INFO     | app.core.redis:65 | Redis connection closed.
2026-06-22 15:04:42,274 | INFO     | app.main:127 | geo-map-backend shutdown complete.
2026-06-22 15:04:44,346 | INFO     | app.main:51 | Starting geo-map-backend...
2026-06-22 15:04:44,347 | INFO     | app.main:56 | Rate limiter initialized
2026-06-22 15:04:44,356 | INFO     | app.core.redis:40 | Redis connection established at localhost:6379
2026-06-22 15:04:44,358 | INFO     | app.integrations.pinecone_client:41 | Initialising Pinecone client — index: geo-map-places
2026-06-22 15:04:47,072 | INFO     | app.integrations.pinecone_client:45 | Pinecone client ready — index: geo-map-places
2026-06-22 15:04:47,398 | INFO     | app.main:82 | OpenAI client initialised — model: text-embedding-3-small
2026-06-22 15:04:48,549 | INFO     | app.main:93 | Autocomplete httpx client initialised.
2026-06-22 15:04:48,878 | INFO     | app.main:96 | Place Photos httpx client initialised.
2026-06-22 15:04:49,164 | INFO     | app.main:100 | Routes API httpx client initialised.
2026-06-22 15:04:49,479 | INFO     | app.main:103 | Open-Meteo httpx client initialised.
2026-06-22 15:04:49,479 | INFO     | app.main:105 | geo-map-backend ready.
2026-06-22 15:04:51,403 | INFO     | app.main:51 | Starting geo-map-backend...
2026-06-22 15:04:51,419 | INFO     | app.main:56 | Rate limiter initialized
2026-06-22 15:04:51,422 | INFO     | app.core.redis:40 | Redis connection established at localhost:6379
